"KmeansGroup" "FoldChangeQ95" "SmExp1" "SmExp2" "SmExp3" "SmExp4" "SmExp5" "SmExp6" "SmExp7" "SmExp8" "SmExp9" "SmExp10" "SmExp11" "SmExp12" "SmExp13" "SmExp14" "SmExp15" "SmExp16" "SmExp17" "SmExp18" "SmExp19" "SmExp20" "SmExp21" "SmExp22" "SmExp23" "SmExp24" "SmExp25" "SmExp26" "SmExp27" "SmExp28" "SmExp29" "SmExp30" "SmExp31" "SmExp32" "SmExp33" "SmExp34" "SmExp35" "SmExp36" "SmExp37" "SmExp38" "SmExp39" "SmExp40" "SmExp41" "SmExp42" "SmExp43" "SmExp44" "SmExp45" "SmExp46" "SmExp47" "SmExp48" "SmExp49" "SmExp50"
"Aldh1a1" 1 2.05535567260017 1.29844570642779 2.78283106962375 0.393687596051697 0.18070586699097 -0.036978910582697 -0.0723270378764619 0.832669668340908 0.420366022307228 -0.145201123377507 0.814796172647103 2.0484552497478 2.07504377880312 3.42184345690909 0.64843594757538 1.05773420300531 0.0352837249389919 -0.419104778005211 0.285396948090329 -0.388976888088003 -0.343311570323567 -0.287622520247123 0.0577304647491567 0.627960749118521 -0.564277282023952 -0.512646162536014 -0.503480045248461 -0.618630796387344 -0.539023162296689 -0.534273400231951 -0.561960801447424 -0.516631069660196 -0.486317469225069 -0.397893302365487 -0.521005509316487 -0.555691831142419 -0.514600617039826 -0.447087400871435 -0.512288153981252 -0.467339498520563 -0.84030816071713 -0.704023143741768 -0.791577390109757 -0.805409365715294 -0.847913176049405 -0.766822247242136 -0.874738759289608 -0.874738759289608 -0.852227264460604 -0.857575941227264 -0.874738759289608
"Trpm1" 1 1.98056735450446 -0.148039432104535 0.468020704420892 1.88620547503173 1.82535441237526 2.05777252861852 1.334976999654 0.80179405798907 0.944237191060368 2.12987154621438 0.823215739708237 1.39614449198142 1.35654854332788 0.913059199135323 -0.280187938358988 -0.356816612936613 -0.470646158150068 -0.655903482574458 -0.495454431470374 -0.673426462509021 -0.650876886089779 -0.615142781091174 -0.550257164487484 0.0292010622833848 -0.68858623363675 -0.68858623363675 -0.680799003303947 -0.659458578344527 -0.673959941671521 -0.682528839857839 -0.671840871887301 -0.675659522806538 -0.680468783377478 -0.68858623363675 -0.67975496050154 -0.681087597230052 -0.673352371175154 -0.666208079987116 -0.68858623363675 -0.68858623363675 -0.68858623363675 -0.597423031569027 -0.68858623363675 -0.68858623363675 -0.667861943486185 -0.68858623363675 -0.68858623363675 2.81813589091026 0.166398220209863 -0.592978512313957 0.134492306227127
"Hmga2" 1 1.75936417087315 0.658598170983605 1.41447845368296 1.2207216810091 1.34119423897407 1.95212948780951 1.58516110646576 1.75814014348594 1.52116938185127 1.76293175788482 1.55212656156594 1.67081697148722 1.81482246746118 1.33804519474094 0.440822162523042 0.1920319105932 -0.19538401904145 -0.406781147819869 -0.124880077310566 -0.203724046135643 -0.362306894929259 -0.357533351341216 -0.328469475617018 -0.0549037559608305 -0.806332227590778 -0.752403863221483 -0.581314215779026 -0.58664045057188 -0.60270511968104 -0.515684554967535 -0.641038981876799 -0.54070615566053 -0.572877661435611 -0.66443727160955 -0.675695923636141 -0.71773499306782 -0.667163200503632 -0.571701868530182 -0.651444720531232 -0.795910179060208 -0.896842335615805 -0.854112435228656 -0.889487613897193 -0.893705978877639 -0.890540370326956 -0.846474147638966 -0.896842335615805 -0.841387631029954 -0.896842335615805 -0.8066710961184 -0.891873425547225
"Ccnd2" 1 1.71062029014866 1.38253429116435 1.37626807375942 1.51762815464193 0.81677494600385 0.185343701042716 0.746327917468864 0.969252527100894 0.885041557450878 1.43536087321754 0.559300790545401 1.86852294647235 2.16961393352587 2.56413789128276 1.27957852063234 0.959306440136712 -0.0579097837500312 -0.55449775580295 0.316515402752754 -0.344869570412966 -0.207579339356853 -0.35348901310805 0.364618783128117 1.19039801596543 -0.639695863675609 -0.761015526979099 -0.756572042485091 -0.750804810234462 -0.753171489754505 -0.749967282828412 -0.764161549036607 -0.757274360743685 -0.771365273686866 -0.762746811584269 -0.78819610528907 -0.774788230575619 -0.791239453980728 -0.726712602960254 -0.811687509482409 -0.696269993818629 -0.758241796579722 -0.778915851969632 -0.800928361728348 -0.800106853514813 -0.801868966143745 -0.734340792246772 -0.811687509482409 -0.811687509482409 -0.811687509482409 -0.801978026781994 -0.811687509482409
"Filip1" 1 2.12154628894356 -0.307469691402913 0.384735104967294 0.648427070411748 0.986568666642953 1.01951944042577 1.12351926206836 1.29603505346249 1.1462083951343 2.90759343005452 0.84850516966918 2.09004173821329 2.69897898688496 2.14732273954105 0.348229417793125 0.338052069859956 -0.0865983718008203 -0.586092791797128 -0.249254496080949 -0.6314034572181 -0.48295563340444 -0.446176422534239 -0.315710784739412 0.214722871129905 -0.721204288882997 -0.721204288882997 -0.683964391839564 -0.646308183567158 -0.654453265151914 -0.638693798499848 -0.66993722883353 -0.680711343801525 -0.681190203634333 -0.721204288882997 -0.640734926318469 -0.698784310318276 -0.654019919749879 -0.721204288882997 -0.721204288882997 -0.721204288882997 -0.0376909560626037 -0.721204288882997 -0.559669506812312 -0.511084562446677 -0.634048762014168 -0.721204288882997 -0.721204288882997 -0.391706233335405 -0.686724291326986 -0.55769784745686 -0.696085725107971
"Hbb-y" 1 1.95092744257656 1.79550858409294 1.8385511957499 1.95829905184813 1.95894802686461 2.10574733347998 1.94191769791132 1.89818129059859 1.82452994839184 1.37199757986747 1.86938571699816 0.301165034926733 -0.212851843017969 -0.356844645983052 -0.518892601989006 -0.554290773315161 -0.535257780237172 -0.54038348654914 -0.49925004064689 -0.538830369995348 -0.550876985843159 -0.402746414246923 -0.421905739335393 -0.432196909339939 -0.566167737521087 -0.556490239193854 -0.56411426100468 -0.566167737521087 -0.56179406123446 -0.566167737521087 -0.564788761403128 -0.566167737521087 -0.566167737521087 -0.566167737521087 -0.565494015765474 -0.566167737521087 -0.566167737521087 -0.566167737521087 -0.566167737521087 -0.566167737521087 -0.566167737521087 -0.548627486262663 -0.566167737521087 -0.566167737521087 -0.566167737521087 -0.566167737521087 -0.566167737521087 -0.566167737521087 -0.566167737521087 -0.566167737521087 -0.566167737521087
"Sfrp2" 1 1.26219147556729 1.26667479837787 1.22247673011314 0.706772577266359 0.889852687699738 0.872389756454567 0.930446250714568 1.23053274340585 1.18518679360134 1.06601967359214 1.20405728218077 0.9942138257092 0.986779266049736 0.970107745201861 1.40468890991388 1.25671185879881 1.11616846094899 0.969213120902571 0.699014871959087 1.34902628059115 0.78601824998278 0.747089940637077 0.981105191993159 0.630377095516967 -0.939267969412763 -0.694696617086086 -0.636676549177252 -0.733803012110761 -0.692377946480062 -0.741985151744017 -0.787577307801989 -0.755287951974819 -0.754879681974859 -0.729755211814391 -0.807233189503637 -0.889888730274413 -0.837472327340839 -0.810816489443368 -0.959937878261303 -0.856843820151967 -1.06667497594375 -1.08042054705476 -1.09983881517028 -1.09258514880103 -1.10302973210982 -1.0920707160318 -1.11671473227392 -1.11671473227392 -1.11671473227392 -1.09713688841923 -1.11671473227392
"Unc5b" 1 1.91217314985034 1.69818534576585 2.67161962518141 0.655257266361739 0.909198372953972 0.62946569814412 0.659505392218535 1.35071755812926 1.20036446850628 0.97113918858845 1.78516041933586 2.01609265663491 1.52808496666992 2.82543162968549 -0.20552240723032 -0.0414415720794261 -0.437557505083449 -0.547922346298243 -0.330835321475809 -0.582819835306032 -0.507849207199944 -0.490460888593711 -0.522128398460877 -0.228442087604033 -0.673627772151593 -0.596645581001145 -0.628605669471968 -0.646187827512214 -0.636354383615658 -0.61578141037156 -0.673627772151593 -0.58881535860475 -0.571153065825851 -0.618490523477656 -0.640402324967153 -0.642217396889689 -0.596340329061561 -0.643583509040471 -0.673627772151593 -0.673627772151593 -0.499178540926508 -0.574858721030007 -0.609295259770069 -0.595165398992209 -0.561026087139271 -0.673627772151593 -0.673627772151593 -0.673627772151593 -0.6592769964774 -0.640541015458338 -0.638102363999667
"Foxp1" 1 1.400483689681 1.75412164611498 1.35438565547056 0.637342285247978 0.292424937245029 0.372180966472484 0.558892535981061 1.417743888729 1.55679190680622 1.1556447674267 1.54036029001781 1.69313974038169 1.84481763791315 1.62988025210573 1.30572758376007 0.973918652520815 0.572826979908557 0.3070777680474 0.259720769540543 0.804013022069758 0.138917154825136 0.514036931937884 0.550826762248954 0.513648820521459 -0.914355338871013 -0.732549592432119 -0.723776332271644 -0.801800238086083 -0.788637097225857 -0.740915992959716 -0.790842121540111 -0.731845278272714 -0.750313593394952 -0.740056397586514 -0.826634532648822 -0.878342650778977 -0.85559140750049 -0.782630273669888 -0.905161636565031 -0.942475769035894 -0.787201674396723 -0.615032892498159 -0.925364937642965 -0.900567827555614 -0.795975188416727 -0.704649655314819 -1.33769522253865 -0.882823608817725 -1.10197621017911 -1.03870894658584 -1.1530002281878
"Cd24a" 1 1.51450666850482 1.21319041406207 1.57073308317901 1.66457965514113 2.07284752060543 1.9526099863108 1.9299181779145 1.55652225754523 1.57661385519163 1.58683749106072 1.2553631970543 0.996980199274202 1.10871364685468 0.730480962952511 0.0593684718768069 -0.305912454286114 -0.437972968841646 -0.707201294180297 -0.391139670264495 -0.428616519337096 -0.423589292012088 -0.138005561135203 -0.15217724138655 -0.0316129965253484 -0.169573696758594 -0.272759162472656 -0.589449135953595 -0.621273606643245 -0.674061888177223 -0.781678564772477 -0.649312112234467 -0.825968604396984 -0.896167722461892 -0.862303356072784 -0.810005793572234 -0.698190159651626 -0.651732125457549 -0.956458962149484 -0.961682352755026 -1.1659708636213 0.343791143657199 0.198800077448172 -0.245031630656878 -0.506352910837951 -1.22130060534961 -0.98353970618958 -0.856061587768435 -0.156598486818179 -1.291879970774 -0.34844791253069 -1.1198278925879
